#,Amount of elements in set
0,32,
1,25,
2,22,
3,33,
4,28,
5,22,
6,37,
7,8,
8,6,
9,21,
10,13,
11,14,
12,24,
13,13,
14,26,
15,15,
16,25,
17,20,
18,18,
19,18,
20,16,
21,16,
22,17,
23,24,
24,23,
25,18,
26,11,
27,16,
28,18,
29,24,
30,28,
31,19,
32,22,
33,11,
34,23,
35,6,
36,29,
37,19,
38,20,
39,23,
40,19,
41,32,
42,21,
43,10,
44,18,
45,15,
46,11,
47,26,
48,12,
49,40,
50,18,
51,24,
52,23,
53,14,
54,14,
55,38,
56,20,
57,10,
58,18,
59,23,
60,27,
61,19,
62,19,
63,25,
64,18,
65,13,
66,25,
67,17,
68,9,
69,18,
70,10,
71,10,
72,18,
73,24,
74,12,
75,30,
76,18,
77,29,
78,15,
79,26,
80,13,
81,11,
82,31,
83,9,
84,30,
85,20,
86,11,
87,29,
88,7,
89,30,
90,23,
91,21,
92,16,
93,27,
94,15,
95,19,
96,15,
97,6,
98,23,
99,10,
100,16,
101,55,
102,21,
103,10,
104,0,
105,15,
106,16,
107,16,
108,16,
109,18,
110,10,
111,10,
112,7,
113,32,
114,21,
115,27,
116,13,
117,6,
118,14,
119,24,
120,22,
121,11,
122,9,
123,15,
124,29,
125,27,
126,11,
127,8,
128,18,
129,24,
130,24,
131,22,
132,27,
133,22,
134,21,
135,31,
136,11,
137,21,
138,29,
139,15,
140,15,
141,24,
142,21,
143,27,
144,26,
145,23,
146,17,
147,28,
148,17,
149,27,
150,9,
151,18,
152,5,
153,11,
154,26,
155,20,
156,21,
157,8,
158,21,
159,18,
160,10,
161,25,
162,5,
163,4,
164,10,
165,20,
166,30,
167,23,
168,4,
169,21,
170,15,
171,34,
172,23,
173,28,
174,21,
175,23,
176,25,
177,10,
178,3,
179,26,
180,38,
181,17,
182,28,
183,16,
184,15,
185,29,
186,28,
187,18,
188,12,
189,1,
190,16,
191,32,
192,25,
193,13,
194,23,
195,22,
196,14,
197,17,
198,26,
199,18,
200,19,
201,23,
202,23,
203,37,
204,24,
205,21,
206,29,
207,22,
208,23,
209,26,
210,17,
211,10,
212,15,
213,28,
214,10,
215,20,
216,15,
217,7,
218,27,
219,21,
220,15,
221,26,
222,30,
223,6,
224,6,
225,25,
226,20,
227,17,
228,19,
229,37,
230,37,
231,11,
232,28,
233,29,
234,26,
235,23,
236,26,
237,27,
238,39,
239,6,
240,24,
241,19,
242,13,
243,9,
244,21,
245,27,
246,53,
247,25,
248,35,
249,26,
250,18,
251,28,
252,14,
253,14,
